"","lieux","longitude","latitude","Titre","poissons_liste","img_tags","fish_urls"
"1","Abrohlos Islands, Western Australia",113.5951698,-28.3001002,"Series 6 Ep1 Part 1 Abrohlos Islands Dhufish","<li> Dhufish Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/14 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/14 '> http://rules.fish.wa.gov.au/Species/Index/14 </a>"
"2","Abrolhos Islands, Western Australia",113.5951698,-28.3001002,"In todays show Steve and Ryan are in Luck Bay catching some great tailor off the beach. Then they head out to the Abrolhos Islands in search and to try some new Dhufish methods. T","<li> Tailor Fish </li><li>  Dhufish Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/14 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/14 '> http://rules.fish.wa.gov.au/Species/Index/14 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"3","Albany, Western Australia",117.8837114,-35.0268148,"Albany Whiting Fishing Western Australia Series 14 Ep 4 Full Show","<li> Whiting Fish </li><li>  Herring Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/7 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/07 '> http://rules.fish.wa.gov.au/Species/Index/07 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a>"
"4","Augusta South West, Western Australia",115.1572509,-34.3109803,"Augusta Red Snapper / Nanagi Fishing WA Series 3 Ep 8 Part 3","<li> Pink Snapper Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/13 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/13 '> http://rules.fish.wa.gov.au/Species/Index/13 </a>"
"5","Augusta, Western Australia",115.1572509,-34.3109803,"Augusta Salmon fishing WA Series 4 Ep 2 Part 1<br>Augusta Whiting <br>Steve is in Augusta getting lessons from a whiting master<br>Best of Fishing WA Episode 17 Preview - Mue Stones Tailor","<li> Salmon Fish </li><li> Whiting Fish </li><li> Tailor Fish </li><li>  Salmon Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/128 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/128 '> http://rules.fish.wa.gov.au/Species/Index/128 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"6","Barrack St Jetty, Western Australia",115.857861,-31.9597195,"Steve and Ira check out the Barrack St Jetty for some Black Bream<br>Barrack St Jetty Bream Fishing Western Australia","<li> Bream Black Fish </li><li>  Rig Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"7","Bernie Islands, Western Australia",113.1381998,-24.8504267,"Carnarvon Bernie Islands Tuna <br>Carnarvon Bernie Islands Tuna","<li> Tuna Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/106 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/106 '> http://rules.fish.wa.gov.au/Species/Index/106 </a>"
"8","Blackwood River South West, Western Australia",116.383975284579,-33.9330551851047,"South West Blackwood River Bream ","<li> Bream Black Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"9","Blackwood River, Western Australia",116.383975284579,-33.9330551851047,"Steve heads down south to the Blackwood River to get into some of the best Bream WA has to offer","<li> Bream Black Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"10","Broome, Western Australia",122.236998,-17.96182,"Series 5 Ep16 Broome Black Jew Fish<br>Crocodiles and Alligators Great Escape Fishing WA Series 2 Ep 17<br>Broome Fly Fishing Fishing Western Australia Series 14 Ep7 Full Show<br>Broome Sailfish How to Fishing Western Australia Series 14 Full Show","<li> Black Jew Fish </li><li> Cod Fish </li><li> Mackerel Fish </li><li>  Tuna Fish </li><li> Sailfish Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/109 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/70 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/106 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/164 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/154 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/109 '> http://rules.fish.wa.gov.au/Species/Index/109 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/70 '> http://rules.fish.wa.gov.au/Species/Index/70 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/106 '> http://rules.fish.wa.gov.au/Species/Index/106 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/164 '> http://rules.fish.wa.gov.au/Species/Index/164 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/154 '> http://rules.fish.wa.gov.au/Species/Index/154 </a>"
