fish_name,index,url
"Rock lobster, western",02,http://rules.fish.wa.gov.au/Species/Index/02
"Abalone, Roe's",03,http://rules.fish.wa.gov.au/Species/Index/03
"Herring, Australian",07,http://rules.fish.wa.gov.au/Species/Index/07
Sardine (group),09,http://rules.fish.wa.gov.au/Species/Index/09
"Perch, redfin",10,http://rules.fish.wa.gov.au/Species/Index/10
"Groper, baldchin",12,http://rules.fish.wa.gov.au/Species/Index/12
"Snapper, pink",13,http://rules.fish.wa.gov.au/Species/Index/13
"Dhufish, West Australian",14,http://rules.fish.wa.gov.au/Species/Index/14
"Mackerel, Spanish ",15,http://rules.fish.wa.gov.au/Species/Index/15
Mahi Mahi ,16,http://rules.fish.wa.gov.au/Species/Index/16
Swordfish,17,http://rules.fish.wa.gov.au/Species/Index/17
Barramundi,18,http://rules.fish.wa.gov.au/Species/Index/18
Flathead (group),19,http://rules.fish.wa.gov.au/Species/Index/19
Tailor,20,http://rules.fish.wa.gov.au/Species/Index/20
"Trout, rainbow",21,http://rules.fish.wa.gov.au/Species/Index/21
"Cobbler, freshwater (group)",22,http://rules.fish.wa.gov.au/Species/Index/22
"Striped perch, freshwater (group)",23,http://rules.fish.wa.gov.au/Species/Index/23
Whiting (group),24,http://rules.fish.wa.gov.au/Species/Index/24
Garfish (group),25,http://rules.fish.wa.gov.au/Species/Index/25
Carp and goldfish (group),26,http://rules.fish.wa.gov.au/Species/Index/26
"Crab, blue swimmer",27,http://rules.fish.wa.gov.au/Species/Index/27
Squid (group),28,http://rules.fish.wa.gov.au/Species/Index/28
Marron (group) ,29,http://rules.fish.wa.gov.au/Species/Index/29
"Cod, barramundi",31,http://rules.fish.wa.gov.au/Species/Index/31
Prawns (group),32,http://rules.fish.wa.gov.au/Species/Index/32
Mussels (group),33,http://rules.fish.wa.gov.au/Species/Index/33
"Shark, grey nurse",34,http://rules.fish.wa.gov.au/Species/Index/34
"Shark, white",35,http://rules.fish.wa.gov.au/Species/Index/35
Anchovy (group),36,http://rules.fish.wa.gov.au/Species/Index/36
