Resource,Year,Number of,Proportion of,Estimated,Standard,Estimated,Standard,Estimated
,,species/taxa,kept catch,harvest,Error,harvest,Error,harvest
,,,(by number),(by number),,(tonnes),,"(tonnes,"
,,,,,,,,95% CI)
North Coast Bioregion,,,,,,,,
North Coast Nearshore and Estuarine,1112,10,74,"11,881","2,406",21.150,5.388,11-32
,1314,10,76,"9,684","1,655",18.834,3.471,12-26
,1516,9,80,"8,517","1,634",21.032,4.545,12-30
,1718,10,82,"6,391","1,061",14.524,2.917,9-20
,2021,10,80,"11,685","2,866",17.830,2.829,12-23
North Coast Demersal Scalefish,1112,15,85,"46,642","4,702",76.409,6.546,64-89
,1314,15,80,"30,204","3,833",50.292,5.702,39-61
,1516,15,83,"21,543","2,614",36.752,3.985,29-45
,1718,14,85,"33,533","3,873",69.986,8.332,54-86
,2021,15,86,"29,224","3,366",51.989,5.366,41-63
North Coast Mud Crab,1112,2,100,"8,844","1,785",7.149,1.555,4-10
,1314,2,100,"8,525","1,974",7.227,1.641,4-10
,1516,2,100,"3,208",992,2.397,0.692,1-4
,1718,2,100,"2,976",794,2.339,0.635,1-4
,2021,2,100,"3,612","1,110",2.954,0.979,1-5
North Coast Blue Swimmer Crab,1112,1,100,"16,064","6,753",3.679,1.546,1-7
,1314,1,100,"14,806","5,357",3.864,1.398,1-7
,1516,1,100,"6,933","2,723",1.650,0.648,0-3
,1718,1,100,"6,818","3,123",1.664,0.762,0-3
,2021,1,100,"3,525","1,553",0.828,0.365,0-2
North Coast Cephalopods,1112,1,100,"2,727","1,557",1.481,0.846,0-3
,1314,3,100,"3,947","1,490",1.972,0.742,1-3
,1516,1,100,"2,904","1,131",1.429,0.557,0-3
,1718,2,100,"3,234","1,991",1.672,1.022,0-4
,2021,2,100,"2,213",875,1.077,0.424,0-2
Gascoyne Coast Bioregion,,,,,,,,
Gascoyne Coast Nearshore and Estuarine,1112,10,77,"12,925","4,159",7.877,2.095,4-12
,1314,10,84,"12,555","3,384",10.213,3.587,3-17
,1516,10,90,"11,291","3,453",5.885,1.616,3-9
,1718,10,93,"13,950","3,460",7.097,1.685,4-10
,2021,10,89,"25,295","8,977",10.057,2.689,5-15
Gascoyne Coast Demersal Scalefish,1112,15,84,"72,833","5,965",143.153,11.870,120-166
,1314,15,79,"50,364","5,320",94.002,9.023,76-112
,1516,15,85,"44,457","4,297",99.597,10.201,80-120
,1718,15,85,"42,564","4,422",86.017,8.919,69-103
,,species/taxa,kept catch,harvest,Error,harvest,Error,harvest
,,,(by number),(by number),,(tonnes),,"(tonnes,"
,,,,,,,,95% CI)
,2021,15,79,"51,368","5,519",93.080,9.683,74-112
Gascoyne Coast Mud Crab,1112,2,100,389,298,0.327,0.290,0-1
,1314,2,100,555,347,0.404,0.239,0-1
,1516,2,100,52,44,0.037,0.032,0-0
,1718,2,100,208,147,0.147,0.100,0-0
,2021,2,100,293,215,0.219,0.148,0-1
Gascoyne Coast Blue Swimmer Crab,1112,1,100,"19,564","13,683",4.480,3.133,0-11
,1314,1,100,"8,764","5,025",2.287,1.311,0-5
