Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
Abalone,Roe's Abalone,Haliotis roei,"18,276","6,658",225,271,"18,501","6,701",1%
,Greenlip Abalone,Haliotis laevigata,"1,113",956,44,60,"1,157","1,012",4%
,Brownlip Abalone,Haliotis conicopora,651,607,0,0,651,607,0%
Cephalopods,Cuttlefish,Sepia spp.,"1,656",388,689,279,"2,345",481,29%
,Octopus,Octopodidae - undifferentiated,"3,049","1,607",430,150,"3,478","1,622",12%
,Squid,Order Teuthoidea - undifferentiated,"99,377","14,700","5,101","1,791","104,478","15,111",5%
Lobster,Western Rock Lobster,Panulirus cygnus,"474,331","50,223","188,253","30,722","662,583","73,575",28%
,Southern Rock Lobster,Jasus edwardsii,488,272,182,147,670,381,27%
,Painted Rock Lobster,Panulirus versicolor,340,214,14,19,354,218,4%
,Ornate Rock Lobster,Panulirus ornatus,195,129,0,0,195,129,0%
Crab,Blue Swimmer Crab,Portunus armatus,"199,159","30,879","372,081","113,367","571,240","140,167",65%
,Green Mud Crab,Scylla serrata,"1,785",825,"1,207",471,"2,992","1,178",40%
,Brown Mud Crab,Scylla olivacea,"2,121",775,"2,063",935,"4,184","1,632",49%
Sharks,Blacktip Reef Shark,Carcharhinus melanopterus,102,69,"2,782",852,"2,884",856,96%
,Bronze Whaler,Carcharhinus brachyurus,212,112,836,308,"1,048",337,80%
,Dusky Whaler,Carcharhinus obscurus,85,53,"1,159",440,"1,245",445,93%
,Lemon Shark,Negaprion acutidens,0,0,19,20,19,20,100%
,Sandbar Shark,Carcharhinus plumbeus,27,26,415,201,442,202,94%
,Tiger Shark,Galeocerdo cuvier,0,0,148,65,148,65,100%
,Whitetip Reef Shark,Triaenodon obesus,10,14,387,206,397,206,97%
,Whaler Sharks,Carcharhinidae - undifferentiated,80,59,861,385,941,402,91%
,Hammerhead Sharks,Sphyrnidae - undifferentiated,43,48,204,128,247,137,83%
,Gummy Shark,Mustelus antarcticus,"1,451",360,603,271,"2,054",467,29%
,Western Spotted Gummy Shark,Mustelus stevensi,194,131,170,129,364,191,47%
,Whiskery Shark,Furgaleus macki,128,66,361,161,489,176,74%
,Port Jackson Shark,Heterodontus portusjacksoni,13,18,729,290,743,290,98%
,Greynurse Shark,Carcharias taurus,11,15,215,193,226,202,95%
,Wobbegong,Orectolobidae - undifferentiated,87,50,448,173,535,188,84%
,Sawsharks,Pristiophorus spp.,22,30,0,0,22,30,0%
,Sharks,Sharks - undifferentiated,364,206,"5,075","1,114","5,438","1,140",93%
Rays,Sawfish,Pristidae - undifferentiated,0,0,98,55,98,55,100%
,Western Shovelnose Ray,Aptychotrema vincentiana,20,27,"1,061",327,"1,081",328,98%
,Rays,Order Rajiformes - undifferentiated,0,0,"3,478","1,017","3,478","1,017",100%
Barracouta,Barracouta,Thyrsites atun,15,20,0,0,15,20,0%
Billfish,Black Marlin,Makaira indica,6,8,314,140,320,143,98%
,Blue Marlin,Makaira nigricans,25,25,188,121,213,124,88%
,Sailfish,Istiophorus platypterus,15,19,"1,189",599,"1,203",600,99%
,Striped Marlin,Tetrapturus audax,0,0,32,26,32,26,100%
Bonito,Bonito,Sarda australis & Cybiosarda elegans,253,148,58,47,311,175,19%
,Oriental Bonito,Sarda orientalis,222,121,86,72,307,159,28%
Breams,Black Bream,Acanthopagrus butcheri,"10,629","4,557","50,871","16,000","61,500","19,021",83%
,Frypan Bream,Argyrops notialis,481,286,156,137,637,338,24%
,Northwest Black Bream,Acanthopagrus palmaris,139,89,"1,191",581,"1,330",594,90%
,Pink Snapper,Chrysophrys auratus,"32,197","3,672","104,071","13,782","136,268","15,793",76%
,Tarwhine,Rhabdosargus sarba,"2,718","1,015","7,899","3,833","10,616","4,205",74%
,Western Yellowfin Bream,Acanthopagrus morrisoni,615,453,"1,618",640,"2,233",932,72%
,Breams,Sparidae - undifferentiated,445,277,745,525,"1,189",612,63%
Catfish,Eeltail Catfish,Plotosidae - undifferentiated,67,67,747,341,814,369,92%
,Giant Sea Catfish,Netuma thalassina,123,168,"3,822","1,003","3,945","1,017",97%
,Silver Cobbler,Neoarius midgleyi,80,75,844,556,924,572,91%
,Forktail Catfishes,Ariidae - undifferentiated,79,107,"2,814","1,053","2,893","1,060",97%
Cobia,Cobia,Rachycentron canadum,"1,146",271,671,203,"1,817",375,37%
Cods,Barramundi Cod,Chromileptes altivelis,40,28,5,7,45,31,11%
,Blackspotted Rockcod,Epinephelus malabaricus,"2,439","1,191","5,191","1,279","7,630","2,101",68%
,Blacktip Rockcod,Epinephelus fasciatus,91,94,247,181,338,204,73%
,Breaksea Cod,Epinephelides armatus,"14,356","1,568","8,288","1,349","22,643","2,472",37%
,Chinaman Rockcod,Epinephelus rivulatus,"15,856","5,347","19,857","5,835","35,712","10,059",56%
,Eightbar Grouper,Hyporthodus cf octofasciatus,"1,042",341,256,227,"1,298",410,20%
,Frostback Rockcod,Epinephelus bilobatus,71,58,258,175,329,192,78%
,Goldspotted Rockcod,Epinephelus coioides,"3,014",791,"6,063","1,526","9,077","1,956",67%
,Harlequin Fish,Othos dentex,"1,787",340,402,174,"2,190",398,18%
,Potato Rockcod,Epinephelus tukula,0,0,46,50,46,50,100%
,Queensland Groper,Epinephelus lanceolatus,18,24,9,8,27,25,34%
,Rankin Cod,Epinephelus multinotatus,"4,593",772,"1,848",463,"6,441","1,027",29%
