,,,Too,Under,Too,Over,Catch,
Reporting Group,Common Name,Scientific Name,,,,,,Other
,,,Small,Size,Many,Limit,Release,
,,,,,,,,
Cephalopods,Cuttlefish,Sepia spp.,4%,2%,55%,0%,8%,30%
,Octopus,Octopodidae - undifferentiated,14%,0%,70%,0%,8%,8%
,Squid,Order Teuthoidea - undifferentiated,39%,19%,31%,0%,5%,6%
Lobster,Western Rock Lobster,Panulirus cygnus,3%,57%,2%,25%,0%,13%
Crab,Blue Swimmer Crab,Portunus armatus,4%,86%,0%,1%,0%,9%
,Green Mud Crab,Scylla serrata,9%,55%,10%,5%,0%,21%
,Brown Mud Crab,Scylla olivacea,0%,87%,2%,2%,0%,9%
Sharks,Blacktip Reef Shark,Carcharhinus melanopterus,1%,0%,70%,0%,7%,23%
,Bronze Whaler,Carcharhinus brachyurus,0%,2%,92%,0%,0%,6%
,Dusky Whaler,Carcharhinus obscurus,0%,0%,66%,0%,6%,28%
,Gummy Shark,Mustelus antarcticus,3%,0%,63%,0%,12%,22%
,Sharks,Sharks - undifferentiated,1%,1%,70%,0%,3%,26%
Rays,Western Shovelnose Ray,Aptychotrema vincentiana,2%,0%,59%,0%,20%,19%
,Rays,Order Rajiformes - undifferentiated,0%,5%,72%,0%,9%,14%
Breams,Black Bream,Acanthopagrus butcheri,18%,34%,2%,0%,45%,1%
,Pink Snapper,Chrysophrys auratus,9%,85%,3%,1%,1%,1%
,Tarwhine,Rhabdosargus sarba,3%,56%,28%,0%,10%,3%
Catfish,Giant Sea Catfish,Netuma thalassina,3%,2%,54%,0%,5%,35%
,Forktail Catfishes,Ariidae - undifferentiated,1%,0%,49%,0%,2%,48%
Cobia,Cobia,Rachycentron canadum,7%,16%,51%,0%,11%,15%
Cods,Blackspotted Rockcod,Epinephelus malabaricus,9%,29%,30%,0%,16%,15%
,Breaksea Cod,Epinephelides armatus,11%,65%,10%,7%,4%,3%
,Chinaman Rockcod,Epinephelus rivulatus,19%,34%,29%,5%,7%,6%
,Eightbar Grouper,Hyporthodus cf octofasciatus,36%,22%,38%,0%,0%,5%
,Goldspotted Rockcod,Epinephelus coioides,23%,44%,18%,1%,7%,8%
,Harlequin Fish,Othos dentex,18%,64%,10%,7%,0%,1%
,Rankin Cod,Epinephelus multinotatus,25%,38%,27%,0%,5%,5%
,Tomato Rockcod,Cephalopholis sonnerati,6%,9%,8%,0%,35%,41%
,Yellowspotted Rockcod,Epinephelus areolatus,3%,37%,41%,0%,15%,4%
,Temperate Basses & Rockcods,"Percichthyidae, Serranidae - undifferentiated",20%,14%,42%,0%,6%,18%
Coral Trout,Barcheek Coral Trout,Plectropomus maculatus,3%,65%,24%,5%,3%,0%
,Common Coral Trout,Plectropomus leopardus,4%,59%,20%,3%,12%,3%
Reporting Group,Common Name,Scientific Name,,,,,,Other
,,,Small,Size,Many,Limit,Release,
,,,,,,,,
Emperors,Grass Emperor,Lethrinus laticaudis,11%,72%,13%,1%,1%,1%
,Redthroat Emperor,Lethrinus miniatus,9%,70%,15%,1%,4%,2%
,Robinson's Seabream,Gymnocranius grandoculis,12%,84%,1%,0%,0%,3%
,Spangled Emperor,Lethrinus nebulosus,13%,58%,17%,2%,4%,6%
Flatheads,Southern Bluespotted Flathead,Platycephalus speculator,26%,59%,12%,0%,0%,4%
,Yellowtail Flathead,Platycephalus westraliae,17%,58%,19%,0%,4%,2%
,Flatheads,Platycephalidae - undifferentiated,26%,41%,33%,0%,0%,0%
Giant Perch,Barramundi,Lates calcarifer,3%,27%,13%,1%,54%,3%
Goatfish,Bluespotted Goatfish,Upeneichthys vlamingii,6%,0%,44%,0%,7%,43%
Grunter Breams,Painted Sweetlips,Diagramma labiosum,1%,20%,39%,32%,2%,6%
Grunters,Sea Trumpeter,Pelsartia humeralis,0%,1%,47%,0%,6%,46%
Gurnards,Bighead Gurnard Perch,Neosebastes pandus,4%,2%,34%,0%,29%,31%
,Gurnard Perch,Neosebastidae - undifferentiated,1%,3%,71%,0%,0%,24%
King Snapper,Goldband Snapper,Pristipomoides multidens,11%,21%,21%,40%,0%,7%
Lizardfish,Sergeant Baker,Latropiscis purpurissatus,5%,6%,61%,0%,1%,27%
Mackerels,School Mackerel,Scomberomorus queenslandicus,1%,57%,27%,1%,0%,13%
,Shark Mackerel,Grammatorcynus bicarinatus,7%,22%,24%,0%,3%,44%
,Spanish Mackerel,Scomberomorus commerson,6%,38%,13%,4%,7%,32%
Morwongs,Blue Morwong,Nemadactylus valenciennesi,6%,37%,26%,13%,7%,11%
Pearl Perch,Northern Pearl Perch,Glaucosoma buergeri,20%,14%,67%,0%,0%,0%
,West Australian Dhufish,Glaucosoma hebraicum,6%,74%,3%,14%,1%,1%
Pikes,Snook,Sphyraena novaehollandiae,11%,19%,51%,0%,3%,17%
Pufferfish,Horseshoe Leatherjacket,Meuschenia hippocrepis,12%,2%,44%,0%,3%,39%
